"danish","swedish","pos","example_da","example_sv","note","deck","cefr","tags","accepted","rank","audio","audio_example"
"trivsel","välbefinnande (trivsel)","noun","","","","praksis-mental-sundhed-b2","b2","","","41204","audio/da-013e1edf46d5db.mp3",""
"fødsel","förlossning","noun","","","","praksis-graviditet-foedsel-b1","b1","","","6136","audio/da-1db30048dcefde.mp3",""
"tilskadekommen","skadad person","noun","","","","praksis-foerstehjaelp-b2","b2","","","","audio/da-037e035c8702f1.mp3",""
"vaskeklud","tvättlapp","noun","","","","praksis-badevaerelse-b1","b1","","","","audio/da-150f1d911d1730.mp3",""
"sengetæppe","överkast","noun","","","","praksis-sovevaerelse-b2","b2","","","","audio/da-134804650fe765.mp3",""
"skovl","spade/skyffel","noun","","","","praksis-have-redskaber-b1","b1","","","9347","audio/da-1d1356336ced36.mp3",""
"lyspære","glödlampa","noun","","","","praksis-belysning-b1","b1","","","","audio/da-1642b74b84f0e9.mp3",""
"loftbjælke","takbjälke","noun","","","","praksis-gulv-vaeg-loft-b2","b2","","","","audio/da-057f4c8638164e.mp3",""
"rude","fönsterruta","noun","","","","praksis-vinduer-doere-b1","b1","","","16796","audio/da-10cde6ad3ef95d.mp3",""
"varmeapparat","värmeaggregat","noun","","","","praksis-opvarmning-b2","b2","","","","audio/da-0c432a9e5f7fa9.mp3",""
"dunk","dunk (plastbehållare)","noun","","","","praksis-opbevaring-b1","b1","","","18473","audio/da-0b51ef065e91a6.mp3",""
"bagrude","bakruta","noun","","","","praksis-bilens-dele-b2","b2","","","","audio/da-0fad540889a32f.mp3",""
"forgaffel","framgaffel","noun","","","","praksis-cykel-dele-b2","b2","","","","audio/da-0c0a624dfa9dc6.mp3",""
"knaphul","knapphål","noun","","","","praksis-toej-detaljer-b1","b1","","","","audio/da-17a566f7e7cde0.mp3",""
"fløjl","sammet","noun","","","","praksis-stof-tekstiler-b2","b2","","","26441","audio/da-0fab51525e8e26.mp3",""
"smykke","smycke","noun","","","","praksis-smykker-ure-b1","b1","","","15323","audio/da-0357d3d7a919df.mp3",""
"læbestift","läppstift","noun","","","","praksis-makeup-pleje-b1","b1","","","7067","audio/da-1c947642a1182d.mp3",""
"narresut","napp (tröstnapp)","noun","","","","praksis-baby-udstyr-b2","b2","","sut","","audio/da-0836295cb88d7d.mp3",""
"hæftemaskine","häftapparat","noun","","","","praksis-kontorartikler-b1","b1","","","38822","audio/da-072332c65fea39.mp3",""
"dybfryser","frysbox","noun","","","","praksis-koekkenmaskiner-b2","b2","","","","audio/da-077b6940d9ee75.mp3",""
"øretelefoner","hörlurar (in-ear)","noun","","","","praksis-elektronik-gadgets-b2","b2","","","","audio/da-1c4e2f2a6a5d3d.mp3",""
"skøjteløb","skridskoåkning","noun","","","","praksis-vintersport-b1","b1","","","45681","audio/da-0290e9d0e709dc.mp3",""
"dykker","dykare","noun","","","","praksis-vandsport-b1","b1","","","8404","audio/da-1609a41dda0426.mp3",""
"liggeunderlag","liggunderlag","noun","","","","praksis-friluftsliv-b2","b2","","","","audio/da-0d2c3a8fe5dcba.mp3",""
"kulør","färg (kortfärg)","noun","","","","praksis-braetspil-kort-b2","b2","","","16799","audio/da-09ed961866dabc.mp3",""
"strikkepind","strumpsticka","noun","","","","praksis-haandarbejde-b1","b1","","","","audio/da-1e2d142a8a74b4.mp3",""
"mose","mosa","verb","","","","praksis-madlavning-teknik-b2","b2","","","14514","audio/da-1c8a9e771b4ff7.mp3",""
"hævning","jäsning","noun","","","","praksis-bagning-teknik-b2","b2","","","","audio/da-16ebf750ff1516.mp3",""
"knage","knaka (knarra)","verb","","","","praksis-lyd-verber-b2","b2","","","","audio/da-1d9c009be2f4f4.mp3",""
"snuppe","snappa åt sig, knycka","verb","","","","praksis-hand-handlinger-b2","b2","","","6509","audio/da-1f9fcab5aebcd7.mp3",""
"mæle","yttra (säga ett ord)","verb","","","","praksis-tale-maader-b2","b2","","","","audio/da-0052ed10b2499c.mp3",""
"flæbe","lipa (gråta högljutt)","verb","","","","praksis-grine-graede-b2","b2","","","25206","audio/da-0f3c5657057d8a.mp3",""
"snige sig","smyga sig","verb","","","","praksis-bevaegelse-praecis-b1","b1","","liste sig","","audio/da-0ca29290999e74.mp3",""
"rynke","rynka (panna)","verb","","","","praksis-ansigtsudtryk-b1","b1","","","22409","audio/da-15b1cb2655d744.mp3",""
"vrissen","vresig (lättirriterad)","adj","","","","praksis-karaktertraek-neg-b2","b2","","","41415","audio/da-00397af1a5fa91.mp3",""
"trofast","trogen, lojal","adj","","","","praksis-karaktertraek-pos-b2","b2","","","9136","audio/da-0f8c797dffe44f.mp3",""
"fjolle","larva sig (busa)","verb","","","","praksis-humoer-nuancer-b2","b2","","","13448","audio/da-08afc50c22dc4e.mp3",""
"konkludere","dra slutsatsen","verb","","","","praksis-tankeprocesser-b2","b2","","","19867","audio/da-16a1712bd77e85.mp3",""
"vedholdenhed","uthållighet","noun","","","","praksis-vilje-motivation-b2","b2","","udholdenhed","37198","audio/da-152049a992f8b7.mp3",""
"hæderlig","hederlig (rättskaffens)","adj","","","","praksis-moral-etik-b2","b2","","","9982","audio/da-1fe117ea924102.mp3",""
"forsones","försonas","verb","","","","praksis-konflikt-forsoning-b2","b2","","","34283","audio/da-01d52678123444.mp3",""
"tillid","tillit","noun","","","","praksis-tillid-svig-b1","b1","","","1755","audio/da-0b5a9de1ce01fd.mp3",""
"beslutte","besluta","verb","","","","praksis-beslutning-plan-b1","b1","","","4205","audio/da-0239af9abec2d9.mp3",""
"udfordring","utmaning","noun","","","","praksis-problem-loesning-b1","b1","","","3905","audio/da-0db01be0931071.mp3",""
"bemærkning","anmärkning (kommentar)","noun","","","","praksis-kommunikationsstil-b2","b2","","","11793","audio/da-1035b8f1e91036.mp3",""
"pylre","pjoska (om någon)","verb","","","","praksis-social-adfaerd-b2","b2","","","38210","audio/da-035c67457a3092.mp3",""
"forfærdet","förfärad","adj","","","","praksis-foelelser-staerke-b2","b2","","","21960","audio/da-1aa0348fc4d143.mp3",""
"gulvklud","golvtrasa","noun","","","","praksis-rengoeringsmidler-b1","b1","","","","audio/da-025fedb5405953.mp3",""
"mejsel","stämjärn (huggmejsel)","noun","","","","praksis-vaerktoejskasse-b2","b2","falsk-ven","","44617","audio/da-1b8d291bde9e5d.mp3",""
"indpakning","inslagning (av paket)","noun","","","","praksis-emballage-b1","b1","","","32497","audio/da-1949e2a5d17602.mp3",""
"prik","prick (liten punkt)","noun","","","","praksis-former-moenstre-b1","b1","","","6532","audio/da-0d1f61f823262b.mp3",""
"slibrig","hal (slipprig)","adj","","","","praksis-tekstur-overflade-b2","b2","","","","audio/da-17fa1d0b18d4fe.mp3",""
"slat","skvätt (rest av vätska)","noun","","","","praksis-mængder-portioner-b2","b2","","sjat","40711","audio/da-095ebe503bc77c.mp3",""
"selskab","sällskap (även firma)","noun","","","","praksis-falske-venner-ekstra-b2","b2","falsk-ven","","1400","audio/da-01a839089f45be.mp3",""
"træls","jobbigt, tråkigt","adj","","","","praksis-slang-talesprog-b2","b2","","","16567","audio/da-15e27806532041.mp3",""
"nuttet","söt (gullig)","adj","","","","praksis-idiomatiske-enkeltord-b2","b2","","","4666","audio/da-01e05181777850.mp3",""
"springe","hoppa","verb","","","","praksis-verber-bevaegelse-b1","b1","falsk-ven","hoppe","2585","audio/da-1e995da1ce4fbf.mp3",""
"sige","säga","verb","Jeg ved ikke, hvad jeg skal sige.","Jag vet inte vad jag ska säga.","","praksis-verber-kommunikation-b1","b1","","","124","audio/da-070ac7a4e9838d.mp3","audio/da-070ac7a4e9838d-ex.mp3"
"glemme","glömma","verb","Jeg må ikke glemme at købe mælk i dag.","Jag får inte glömma att köpa mjölk idag.","","praksis-verber-taenkning-b1","b1","","","913","audio/da-1a13ef81e388ab.mp3","audio/da-1a13ef81e388ab-ex.mp3"
"glæde sig","glädja sig (se fram emot)","verb","","","","praksis-verber-foelelser-b1","b1","","","","audio/da-0524515dae8f1f.mp3",""
"glo","glo (stirra)","verb","","","","praksis-verber-sansning-b2","b2","","","5357","audio/da-03da99714c1b0b.mp3",""
"hælde","hälla","verb","","","","praksis-verber-haandtering-b1","b1","","","9835","audio/da-082c41b632fc80.mp3",""
"ske","ske (hända)","verb","Sådan noget kan ske for os alle.","Sånt kan hända oss alla.","","praksis-verber-forandring-b1","b1","","","438","audio/da-17fd289183cbbd.mp3","audio/da-17fd289183cbbd-ex.mp3"
"opsige","säga upp","verb","","","","praksis-verber-arbejde-b1","b1","","","28750","audio/da-06d3e23d037a90.mp3",""
"gøre rent","städa","verb","","","","praksis-verber-husarbejde-b1","b1","","","","audio/da-1b43ffdd34d604.mp3",""
"lave mad","laga mat","verb","","","","praksis-verber-madlavning-b1","b1","","","","audio/da-0a384108f28e08.mp3",""
"ånde","andas","verb","","","","praksis-verber-krop-b1","b1","","trække vejret","4210","audio/da-0ec75aa035da81.mp3",""
"invitere","bjuda in","verb","","","","praksis-verber-social-b1","b1","","","2286","audio/da-1c1258e5be2cfb.mp3",""
"angribe","angripa, anfalla","verb","","","","praksis-verber-konflikt-b1","b1","","","2436","audio/da-1e484b49c44562.mp3",""
"vare","vara (pågå), räcka","verb","","","","praksis-verber-tid-b1","b1","falsk-ven","","2153","audio/da-11b57b827d6af9.mp3",""
"skylde","vara skyldig","verb","","","","praksis-verber-penge-b1","b1","","","13334","audio/da-1e7822fe2d062e.mp3",""
"undervise","undervisa","verb","","","","praksis-verber-laering-b1","b1","","","4719","audio/da-051ce9d56b34db.mp3",""
"komme","komma","verb","Kan du komme forbi efter arbejde i dag?","Kan du komma förbi efter jobbet i dag?","","praksis-verber-rejse-b1","b1","","","131","audio/da-13548a1d1c3af8.mp3","audio/da-13548a1d1c3af8-ex.mp3"
"blæse","blåsa","verb","","","","praksis-verber-natur-b1","b1","","","4851","audio/da-1a9cdfaef56983.mp3",""
"give","ge","verb","Hvad skal vi give hende i fødselsdagsgave?","Vad ska vi ge henne i födelsedagspresent?","","praksis-verber-frekvente-b1","b1","","","212","audio/da-1ce45d95d31cee.mp3","audio/da-1ce45d95d31cee-ex.mp3"
"forhindre","förhindra","verb","","","","praksis-verber-abstrakt-b1","b1","","","2124","audio/da-1a3db9efd7221a.mp3",""
"fikse","fixa","verb","","","","praksis-verber-byggeri-b1","b1","","","5885","audio/da-082e0a2f92237c.mp3",""
"vade","vada","verb","","","","praksis-verber-bevaegelse2-b2","b2","","","13091","audio/da-0a88456ad1867a.mp3",""
"sød","snäll (söt)","adj","","","","praksis-adjektiver-personlighed-b1","b1","","","390","audio/da-0773cf05c27398.mp3",""
"flot","snygg (stilig)","adj","Du ser virkelig flot ud i den jakke.","Du ser verkligen snygg ut i den jackan.","","praksis-adjektiver-udseende-b1","b1","","lækker","453","audio/da-1ab677ed9abbb9.mp3","audio/da-1ab677ed9abbb9-ex.mp3"
"flov","generad","adj","","","","praksis-adjektiver-foelelser-b1","b1","","","4058","audio/da-18a4ad1f4e85a7.mp3",""
"vældig","väldigt stor (ofantlig)","adj","","","","praksis-adjektiver-stoerrelse-b2","b2","","","4314","audio/da-1b5f1d6c5a27d0.mp3",""
"fed","häftig (grym)","adj","Det var en fed koncert i aftes!","Det var en grym konsert i går kväll!","","praksis-adjektiver-kvalitet-b1","b1","falsk-ven","","1365","audio/da-16e7ce6166ff5c.mp3","audio/da-16e7ce6166ff5c-ex.mp3"
"lun","ljum, behagligt varm","adj","","","","praksis-adjektiver-temperatur-b1","b1","","","8632","audio/da-1581080dc03b2f.mp3",""
"lilla","lila","adj","","","","praksis-adjektiver-farver-b1","b1","","","5722","audio/da-0b624076c16209.mp3",""
"buet","böjd (kurvig)","adj","","","","praksis-adjektiver-form-b2","b2","","","44827","audio/da-1eb3a70eee32a8.mp3",""
"tidlig","tidig","adj","","","","praksis-adjektiver-tid-b1","b1","","","1689","audio/da-1034b26e2a59f3.mp3",""
"nem","lätt (enkel)","adj","","","","praksis-adjektiver-svaerhed-b1","b1","","let","4162","audio/da-12d0daa24a44ea.mp3",""
"kvik","kvick (pigg, snabb)","adj","","","","praksis-adjektiver-fart-b2","b2","","","3954","audio/da-013a2ab58a4125.mp3",""
"krydret","kryddad","adj","","","","praksis-adjektiver-smag-b1","b1","","","14347","audio/da-1253119f2c94a7.mp3",""
"ødelagt","förstörd, trasig","adj","Skærmen på min telefon er helt ødelagt.","Skärmen på min mobil är helt trasig.","","praksis-adjektiver-tilstand-b1","b1","","","1035","audio/da-1f3bf65eb93d3f.mp3","audio/da-1f3bf65eb93d3f-ex.mp3"
"uforskammet","oförskämd","adj","","","","praksis-adjektiver-social-b2","b2","","","6069","audio/da-023be3521508b0.mp3",""
"dum","dum (korkad)","adj","Jeg følte mig virkelig dum, da jeg glemte hendes navn.","Jag kände mig verkligen dum när jag glömde hennes namn.","OBS: svenskans 'dum' i betydelsen elak heter snarare 'ond' eller 'led' på danska.","praksis-adjektiver-personlighed-b1","b1","","","665","audio/da-1ba4f1dade2b33.mp3","audio/da-1ba4f1dade2b33-ex.mp3"
"æg","ägg","noun","","","","praksis-mad-grund-b1","b1","","","1660","audio/da-0bb12a904273b1.mp3",""
"blåbær","blåbär","noun","","","","praksis-mad-frugt-groent-b1","b1","","","15451","audio/da-08f51f7258e9ec.mp3",""
"svinekød","fläskkött","noun","","","","praksis-mad-koed-fisk-b1","b1","","","13830","audio/da-1ad4ca27334eb8.mp3",""
"rundstykke","frukostbulle (rundstycke)","noun","","","","praksis-mad-bagvaerk-b1","b1","","","","audio/da-0c25219bb28cbb.mp3",""
"sodavand","läsk","noun","","","","praksis-drikke-b1","b1","","","4297","audio/da-1fb5afd6c54345.mp3",""
"ske","sked","noun","Kan du række mig en ske til suppen?","Kan du räcka mig en sked till soppan?","","praksis-koekken-redskaber-b1","b1","","","4380","audio/da-1bea8f8f908d9f.mp3","audio/da-1bea8f8f908d9f-ex.mp3"
"sovs","sås","noun","","","","praksis-maaltider-restaurant-b1","b1","","","8184","audio/da-0952171bb1f75b.mp3",""
"stue","vardagsrum","noun","","","","praksis-hus-rum-b1","b1","","","5817","audio/da-0a3b2f8acedca2.mp3",""
"lænestol","fåtölj","noun","","","","praksis-moebler-b1","b1","","","36662","audio/da-022d48791b42a3.mp3",""
"kedel","vattenkokare","noun","","","","praksis-husholdning-ting-b2","b2","","elkedel","27068","audio/da-1acdbc2fe638f9.mp3",""
"gøre rent","städa","phrase","","","","praksis-rengoering-b1","b1","","","","audio/da-14d683d34953df.mp3",""
"bukser","byxor","noun","","","","praksis-toej-b1","b1","","","1916","audio/da-15073b33959913.mp3",""
"snørebånd","skosnöre","noun","","","","praksis-sko-tilbehoer-b2","b2","","","13774","audio/da-0c7b36351dbff5.mp3",""
"ansigt","ansikte","noun","Jeg kunne se på hans ansigt, at noget var galt.","Jag kunde se på hans ansikte att något var fel.","","praksis-krop-ydre-b1","b1","","","603","audio/da-1f9f6d1b9ccafc.mp3","audio/da-1f9f6d1b9ccafc-ex.mp3"
"milt","mjälte","noun","","","","praksis-krop-indre-b2","b2","","","14986","audio/da-0d9b762034d7d3.mp3",""
"syg","sjuk","adj","","","","praksis-sundhed-sygdom-b1","b1","","","666","audio/da-0b4686b3ad3f10.mp3",""
"vaccine","vaccin","noun","","","","praksis-medicin-laege-b1","b1","","","9712","audio/da-1dd31e6e1dda7f.mp3",""
"pige","flicka (tjej)","noun","Der er kommet en ny pige i klassen.","Det har kommit en ny tjej i klassen.","","praksis-familie-b1","b1","","","266","audio/da-1ff8e13d8deda1.mp3","audio/da-1ff8e13d8deda1-ex.mp3"
"bekendt","bekant","noun","","","","praksis-relationer-b2","b2","","","2067","audio/da-12435c51930028.mp3",""
"frygt","rädsla (fruktan)","noun","Mange mennesker lever i frygt for at miste jobbet.","Många människor lever i rädsla för att förlora jobbet.","","praksis-foelelser-navne-b1","b1","","","1260","audio/da-109ef769608901.mp3","audio/da-109ef769608901-ex.mp3"
"venlighed","vänlighet","noun","","","","praksis-personlighed-navne-b1","b1","","","6631","audio/da-17eaa1906bd068.mp3",""
"job","jobb","noun","Hun har lige fået et nyt job.","Hon har precis fått ett nytt jobb.","","praksis-arbejde-kontor-b1","b1","","","398","audio/da-189058d9062873.mp3","audio/da-189058d9062873-ex.mp3"
"jordemoder","barnmorska","noun","","","","praksis-erhverv-jobs-b2","b2","","","32572","audio/da-00c0d312e40af6.mp3",""
"gymnasium","gymnasium (motsv. men 3-årig studieförberedande)","noun","","","","praksis-skole-uddannelse-b1","b1","","","14948","audio/da-0463bd68870cf6.mp3",""
"studerende","student","noun","","","","praksis-universitet-fag-b1","b1","","","3507","audio/da-005799fadf8162.mp3",""
"gæld","skuld","noun","","","","praksis-penge-oekonomi-b1","b1","","","2042","audio/da-128e2dfe2ca0b7.mp3",""
"overførsel","överföring","noun","","","","praksis-bank-finans-b1","b1","","","10825","audio/da-05db540b7b05ee.mp3",""
"handle","handla (göra inköp)","verb","","","","praksis-indkoeb-butik-b1","b1","","","2075","audio/da-14dac8597c361a.mp3",""
"fly","flygplan","noun","","","","praksis-transport-koeretoejer-b1","b1","","","854","audio/da-140513a5d1d847.mp3",""
"sti","stig (gång-/cykelbana)","noun","","","","praksis-trafik-vej-b1","b1","","","5046","audio/da-1404318b50e2d5.mp3",""
"billet","biljett","noun","","","","praksis-rejse-turisme-b1","b1","","","3034","audio/da-16035f709ba3e3.mp3",""
"fiske","fiska","verb","","","","praksis-ferie-fritid-b1","b1","","","4469","audio/da-07fb44c4de14a3.mp3",""
"eng","äng","noun","","","","praksis-natur-landskab-b1","b1","","","19467","audio/da-05e66608f6c68f.mp3",""
"byge","skur (regnskur)","noun","","","","praksis-vejr-klima-b2","b2","","","38635","audio/da-19c5a360e71217.mp3",""
"husdyr","husdjur (boskap/gårdsdjur)","noun","","","","praksis-dyr-husdyr-b1","b1","","","19421","audio/da-07d56ef8a288be.mp3",""
"pindsvin","igelkott","noun","","","","praksis-dyr-vilde-b1","b1","","","28292","audio/da-0f99f5f1a1598b.mp3",""
"ravn","korp","noun","","","","praksis-fugle-insekter-b2","b2","","","16150","audio/da-1f22c21a53b8dc.mp3",""
"ukrudt","ogräs","noun","","","","praksis-planter-have-b1","b1","","","14294","audio/da-1e699d5acf7669.mp3",""
"bygning","byggnad","noun","","","","praksis-by-bygninger-b1","b1","","","2103","audio/da-1d370f134c3a4a.mp3",""
"toldsted","tullstation","noun","","","","praksis-infrastruktur-b2","b2","","","","audio/da-1a6c23777e296d.mp3",""
"regneark","kalkylark","noun","","","","praksis-teknologi-computer-b2","b2","","","46188","audio/da-0315458704d961.mp3",""
"browser","webbläsare","noun","","","","praksis-internet-medier-b1","b1","","","","audio/da-161254a2e39981.mp3",""
"lade op","ladda","verb","","","","praksis-telefon-komm-b1","b1","","oplade","","audio/da-024acd0c9aa847.mp3",""
"ugeblad","veckotidning","noun","","","","praksis-nyheder-aviser-b2","b2","","","47953","audio/da-15d28899d9cc72.mp3",""
"i morgen","i morgon","adv","","","","praksis-tid-kalender-b1","b1","","","","audio/da-11d69182cedce9.mp3",""
"forår","vår","noun","","","","praksis-ugedage-saesoner-b1","b1","","","7753","audio/da-1693a5b4c52708.mp3",""
"hold","lag","noun","Vores hold vandt kampen i søndags.","Vårt lag vann matchen i söndags.","","praksis-sport-motion-b1","b1","falsk-ven","","1320","audio/da-192a95a67aa448.mp3","audio/da-192a95a67aa448-ex.mp3"
